SomeRiskHome,VeryHighRiskHome,water_treatment,RiskSource,urban,windex5,helevel,wq27_decile,Any_U5,Girls_less_than15,Boys_15or_less,improved_latrine,Flush,Pit_latrine,Open_defecation,rainy_season,RainandSurfaceWater,PurchasedWater,Basic_water_service,Limited_water_service,Unimproved_water_service,ImprovedWaterSource,PipedWater,WellandSpringWater,water_carrier_edu,country_cat_Benin,country_cat_Central African Republic,country_cat_Chad,country_cat_DR Congo,country_cat_Dominican Republic,country_cat_Eswatini,country_cat_Fiji,country_cat_Gambia,country_cat_Ghana,country_cat_Guinea Bissau,country_cat_Guyana,country_cat_Honduras,country_cat_Lao,country_cat_Lesotho,country_cat_Madagascar,country_cat_Malawi,country_cat_Mongolia,country_cat_Nepal,country_cat_Sierra Leone,country_cat_Suriname,country_cat_Togo,country_cat_Trinidad and Tobago,country_cat_Viet Nam,country_cat_Zimbabwe,WS1_g_Packaged/Bottled water,WS1_g_Piped water,WS1_g_Protected well/spring,WS1_g_Surface/Rain water,WS1_g_Tube/Well/Borehole,WS1_g_Unprotected well/spring
1,0,1,Moderate to high risk,0,0,1,7,0,0,0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,1,Moderate to high risk,0,0,0,5,1,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,1,Moderate to high risk,0,0,2,8,1,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,1,Moderate to high risk,0,0,2,7,1,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,1,Moderate to high risk,0,0,1,7,0,0,0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,1,Moderate to high risk,0,0,0,8,1,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,1,Moderate to high risk,0,0,2,8,1,0,0,0,0,0,1.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,1,Very high risk,0,0,1,8,0,0,0,1,1,0,0.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,1,Very high risk,0,0,0,8,0,0,0,1,1,0,0.0,0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,1,Very high risk,0,0,0,8,1,0,0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,1,Moderate to high risk,1,0,0,6,0,0,0,1,1,0,0.0,0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,1,No risk,1,0,0,1,0,0,0,1,1,0,0.0,0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0,1,No risk,1,0,0,1,0,0,0,1,1,0,0.0,0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,1,No risk,1,1,2,1,0,0,0,1,1,0,0.0,0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,1,Moderate to high risk,0,0,1,8,0,0,0,0,0,0,1.0,0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,1,Moderate to high risk,0,0,2,7,1,0,0,0,0,0,1.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,1,Moderate to high risk,0,0,1,6,0,0,0,1,1,0,0.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,1,Moderate to high risk,0,0,2,6,1,0,0,0,0,0,1.0,0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,1,Very high risk,0,0,1,8,1,0,0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,1,Moderate to high risk,0,0,2,6,0,0,0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,1,Moderate to high risk,0,0,2,8,1,0,0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,1,Moderate to high risk,0,0,2,8,0,0,0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,1,Very high risk,0,0,2,8,1,0,0,0,0,0,,0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,1,No risk,0,0,0,1,1,0,0,1,0,1,0.0,0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,1,Moderate to high risk,0,1,1,6,0,0,0,1,1,0,0.0,0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,1,No risk,0,0,1,1,0,0,0,1,1,0,0.0,0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,1,No risk,0,1,1,1,0,0,0,1,1,0,0.0,0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,1,Moderate to high risk,0,0,1,6,1,0,0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,1,Very high risk,0,0,0,8,0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,1,Moderate to high risk,0,0,0,8,0,0,0,0,0,0,1.0,0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,Moderate to high risk,0,0,0,5,1,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,1,Moderate to high risk,0,0,1,8,1,0,0,0,0,0,1.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,1,Very high risk,0,0,2,8,1,0,0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,1,Very high risk,0,0,1,8,1,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,1,Very high risk,0,0,0,8,1,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,1,Moderate to high risk,0,0,1,8,0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,1,Moderate to high risk,0,0,0,8,0,0,0,1,0,1,0.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,1,Moderate to high risk,0,0,2,7,1,0,0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,1,Moderate to high risk,0,0,0,8,0,0,0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,1,Moderate to high risk,0,0,2,8,1,0,0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,1,Moderate to high risk,0,0,0,6,1,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,1,Moderate to high risk,0,0,1,5,1,0,0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,1,No risk,0,0,0,1,1,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,1,Very high risk,0,0,0,8,1,0,0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,1,Very high risk,0,0,0,8,1,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,1,Moderate to high risk,0,0,0,6,1,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,1,Moderate to high risk,0,0,1,6,1,0,0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,1,Very high risk,0,0,2,8,0,0,0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,1,Very high risk,0,0,0,8,1,0,0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,1,Very high risk,0,0,0,8,0,0,0,1,1,0,0.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,1,No risk,0,2,1,1,1,0,0,1,1,0,0.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,1,Moderate to high risk,0,0,1,8,1,0,0,1,1,0,0.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,1,Very high risk,0,0,2,8,0,0,0,1,1,0,0.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,1,Very high risk,0,0,0,8,1,0,0,1,1,0,0.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,1,Moderate to high risk,0,0,0,7,1,0,0,1,1,0,0.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,1,Very high risk,0,0,0,8,0,0,0,1,1,0,0.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,1,Very high risk,0,0,0,8,0,0,0,1,1,0,0.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,1,Very high risk,0,0,0,8,0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,1,Moderate to high risk,0,0,2,7,0,0,0,1,1,0,0.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1,1,Moderate to high risk,0,0,0,8,1,0,0,1,1,0,0.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,1,Moderate to high risk,0,0,1,7,0,0,0,1,1,0,0.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,1,Very high risk,0,0,0,8,1,0,0,1,1,0,0.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,1,Moderate to high risk,0,0,2,7,0,0,0,1,1,0,0.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,1,Very high risk,0,0,2,8,1,0,0,0,0,0,1.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,1,Very high risk,0,0,0,8,1,0,0,0,0,0,1.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1,0,Very high risk,0,0,2,8,0,0,0,0,0,0,1.0,0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1,1,Very high risk,0,0,1,8,1,0,0,1,1,0,0.0,0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1,1,Very high risk,0,0,1,8,0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,1,Very high risk,0,0,1,8,0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1,1,Very high risk,0,0,0,8,0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
